date,XLK,XLF,XLE,XLU,XLB,XLP,XLY,XLI,XLV,SPY
2000-01-03,44.0714650042,12.7863722965,18.6012333067,13.8116171123,16.649732797,14.8835109496,23.8766766161,20.3372339238,23.1960117254,102.4594978759
2000-01-04,41.8376840399,12.2275273535,18.2510594869,13.399029643,16.4894542756,14.4648099822,23.1632301037,19.780146032,22.6677857158,98.4527018696
2000-01-05,41.8615322352,12.2331158029,18.51719159,13.6858282497,17.0279901073,14.6807026685,23.0918854524,19.7237320683,22.6065421205,98.628824771
2000-01-06,39.8503344275,12.663426409,19.455657427,13.7109860222,17.611403925,14.9947283941,23.1394485533,19.9564396687,22.5376430758,97.0437186586
2000-01-07,40.5419320926,12.870199038,19.6657617188,13.8267117758,17.5985816433,15.9498899759,24.2254726889,20.718028179,22.8132392547,102.6796515026
2000-01-10,42.0841153918,12.6466610608,19.4976782853,13.8770273208,17.5408813756,15.590068832,24.1065649368,20.718028179,25.1404958766,103.0318973054
2000-01-11,40.8917056244,12.4342999824,19.5256921909,13.7260806857,17.2010909104,15.590068832,23.8925309831,20.4500618513,24.4744717776,101.7990369957
2000-01-12,40.7168188585,12.6801917573,19.4346469978,13.5851971596,17.0792792342,15.6685752634,23.8291135153,20.2103025054,24.0687329586,100.7863303128
2000-01-13,41.0904405856,13.065794768,19.7708138648,13.459408297,17.1498017835,15.7536238974,23.9559484508,20.5910967606,24.7883452036,102.1512827985
2000-01-14,42.0364190011,13.3675710373,19.651754766,13.5701024961,17.0279901073,15.8059615183,23.8925309831,20.4500618513,24.5663371706,103.5382182402
2000-01-18,42.2590021577,12.9260835323,19.8968764399,13.5147553965,16.6176770927,15.5377312111,23.757768864,20.4289066149,24.1146656551,102.723682228
2000-01-19,42.3305467438,12.8813759368,19.8268416759,13.5248185056,16.29712005,15.6489486556,23.7102057632,20.3654409057,24.6888243612,103.5602660095
2000-01-20,42.5769780957,12.6466610608,19.8268416759,13.5851971596,15.8675736128,15.4330559693,23.3851912409,20.2314577418,24.4974381258,101.9751598971
